06.18(목),종일일정,?[한기장] 중간관리자 법인교육,
,종일일정,"?[총회장, 총무] 노년교재 세미나(예정)",
06.19(금),종일일정,?[한기장] 중간관리자 법인교육,
06.20(토),오후 01:00 ~ 오후 04:30,?교회교육전문가과정(익산5),
06.22(월),오전 11:00 ~ 오후 05:00,?교육사기본과정-집필진 모임,
06.23(화),종일일정,?[불참] PC-USA 미국장로교회 총회,박성국
,종일일정,?구역 가정예배 교재 집필진 공동워크숍 5차,
,종일일정,"?[총회장,총무]연합신도대회(신도위원회주관)/예정",
06.24(수),종일일정,?[불참] PC-USA 미국장로교회 총회,박성국
,오후 01:00 ~ 오후 02:30,?전도와 양육 사례 발표회(강사:서울남노회 노숙인학교옹달샘 권영종 목사),
06.25(목),종일일정,?[불참] PC-USA 미국장로교회 총회,박성국
,종일일정,?기장 성경공부 교재 시연 세미나,
06.26(금),종일일정,?[불참] PC-USA 미국장로교회 총회,박성국
06.27(토),종일일정,?[불참] PC-USA 미국장로교회 총회,박성국
06.28(일),종일일정,?[불참] PC-USA 미국장로교회 총회,박성국
06.29(월),종일일정,?[불참] PC-USA 미국장로교회 총회,박성국
,종일일정,?1차 노회록 검사,
,종일일정,?7월 설교문 발송,강원용
06.30(화),종일일정,?[불참] PC-USA 미국장로교회 총회,박성국
,종일일정,?1차 노회록 검사,
07.01(수),종일일정,?[불참] PC-USA 미국장로교회 총회,박성국
,오후 01:00 ~ 오후 02:30,?전도와 양육 사례 발표회,
07.02(목),종일일정,?[불참] PC-USA 미국장로교회 총회,박성국
,종일일정,?선거후보자 면접,
07.07(화),종일일정,?[총회장 설교] 전국장로대회(홍천비발디파크),
07.08(수),종일일정,?[총회장 설교] 전국장로대회(홍천비발디파크),
,오후 01:00 ~ 오후 02:30,?전도와 양육 사례 발표회,
07.09(목),종일일정,?[총회장 설교] 전국장로대회(홍천비발디파크),
,오전 10:00 ~ 오전 11:00,?Lianna 귀국,박성국
07.15(수),오후 01:00 ~ 오후 02:30,?전도와 양육 사례 발표회,
07.22(수),오후 01:00 ~ 오후 02:30,?전도와 양육 사례 발표회,
07.23(목),오후 01:30 ~ 오후 03:00,?NCCK 3차 실행위원회,
07.27(월),종일일정,?8월 설교문 발송,강원용
,종일일정,?11:00 총회 임원 회의(광주한빛교회),
,종일일정,?13:00 실행위원회(광주한빛교회),
07.29(수),오후 01:00 ~ 오후 02:30,?전도와 양육 사례 발표회,
08.05(수),오후 01:00 ~ 오후 02:30,?전도와 양육 사례 발표회,
08.12(수),오후 01:00 ~ 오후 02:30,?전도와 양육 사례 발표회,
08.15(토),종일일정,?광복절,
08.17(월),종일일정,?광복절 대체공휴일,
08.19(수),오후 01:00 ~ 오후 02:30,?전도와 양육 사례 발표회,
08.22(토),종일일정,?제12회 전국 어린이 찬양제,
08.25(화),종일일정,?[총회장] 13:00 목사수련생수련과정 집중교육,
,종일일정,?남신도회전국대회(횡성 웰리힐리파크),
08.26(수),종일일정,?[총회장] 13:00 목사수련생수련과정 집중교육,
,종일일정,?남신도회전국대회(횡성 웰리힐리파크),
